FORMATION_DATE,BLOCK_TYPE,SELECTED_PAIR_NUMBER,PAIR_ID,COMPANY_A,COMPANY_B,SSD,SSD_RANK,FORMATION_START,FORMATION_END,FORMATION_OBSERVATIONS,NORMALIZATION_ANCHOR_DATE,ANCHOR_TRI_A,ANCHOR_TRI_B,FORMATION_SEGMENT_A,FORMATION_SEGMENT_B,FORMATION_SPREAD_MEAN,FORMATION_SPREAD_STD_DDOF1,ENTRY_Z,UPPER_ENTRY_SPREAD,LOWER_ENTRY_SPREAD,EXIT_SPREAD,TRADING_START,TRADING_END,STRUCTURAL_BREAK_DATE_IN_TRADING,EFFECTIVE_LAST_COMMON_TRADING_DATE,FORCED_EXIT_REASON_IF_STILL_OPEN,MAX_FORMATION_NORMALIZATION_ERROR_A,MAX_FORMATION_NORMALIZATION_ERROR_B,PAIR_GROSS_CAPITAL_WEIGHT,ABS_WEIGHT_PER_LEG
2019-01-31,DEVELOPMENT,3,BIOCON__LUPIN,BIOCON,LUPIN,1.2642522642745715,3,2018-02-01,2019-01-31,247,2018-02-01,361.0857917444697,47.13858058365607,BIOCON_SEG1,LUPIN_SEG1,0.02853987028474023,0.06573736819197928,2.0,0.1600146066686988,-0.10293486609921834,0.02853987028474023,2019-02-01,2019-07-31,,2019-07-31,WINDOW_END,2.220446049250313e-16,2.220446049250313e-16,0.25,0.125
2019-01-31,DEVELOPMENT,4,PEL__ZYDUS,PEL,ZYDUS,1.3217451655143853,4,2018-02-01,2019-01-31,247,2018-02-01,280.8974934979684,127.63976373924277,PEL_SEG1,ZYDUS_SEG1,-0.0026624440820692905,0.0732518286687946,2.0,0.1438412132555199,-0.14916610141965847,-0.0026624440820692905,2019-02-01,2019-07-31,,2019-07-31,WINDOW_END,2.220446049250313e-16,1.1102230246251565e-16,0.25,0.125
2019-07-31,DEVELOPMENT,1,BIOCON__GLENMARK,BIOCON,GLENMARK,1.0442567682576107,1,2018-08-01,2019-07-31,245,2018-08-01,340.8295637849768,63.68002678936547,BIOCON_SEG1,GLENMARK_SEG1,-0.010212196654522273,0.06461442934230385,2.0,0.11901666203008543,-0.13944105533912998,-0.010212196654522273,2019-08-01,2020-01-31,,2020-01-31,WINDOW_END,2.220446049250313e-16,2.220446049250313e-16,0.25,0.125
2019-07-31,DEVELOPMENT,2,CIPLA__SUNPHARMA,CIPLA,SUNPHARMA,2.5954629153336466,4,2018-08-01,2019-07-31,245,2018-08-01,98.2103338900572,71.02274240630851,CIPLA_SEG1,SUNPHARMA_SEG1,0.043198386249440716,0.09361300426703237,2.0,0.23042439478350546,-0.144027622284624,0.043198386249440716,2019-08-01,2020-01-31,,2020-01-31,WINDOW_END,2.220446049250313e-16,2.220446049250313e-16,0.25,0.125
2019-07-31,DEVELOPMENT,3,PEL__ZYDUS,PEL,ZYDUS,2.985923445482477,5,2018-08-01,2019-07-31,245,2018-08-01,289.57566919046553,116.42792745282593,PEL_SEG1,ZYDUS_SEG1,-0.03365329378152601,0.10535751237167025,2.0,0.1770617309618145,-0.2443683185248665,-0.03365329378152601,2019-08-01,2020-01-31,,2020-01-31,WINDOW_END,2.220446049250313e-16,2.220446049250313e-16,0.25,0.125
2019-07-31,DEVELOPMENT,4,AUROPHARMA__DRREDDY,AUROPHARMA,DRREDDY,3.321855008299863,8,2018-08-01,2019-07-31,245,2018-08-01,68.69941015856519,71.5811591339679,AUROPHARMA_SEG1,DRREDDY_SEG1,0.004985891040727614,0.11657271927434482,2.0,0.23813132958941724,-0.22815954750796202,0.004985891040727614,2019-08-01,2020-01-31,,2020-01-31,WINDOW_END,2.220446049250313e-16,2.220446049250313e-16,0.25,0.125
2020-01-31,DEVELOPMENT,1,BIOCON__ZYDUS,BIOCON,ZYDUS,0.9340446092670806,1,2019-02-01,2020-01-31,245,2019-02-01,389.2649299249866,99.80417834101854,BIOCON_SEG1,ZYDUS_SEG1,-0.01575302392242152,0.05982371498505128,2.0,0.10389440604768103,-0.1354004538925241,-0.01575302392242152,2020-02-03,2020-07-31,,2020-07-31,WINDOW_END,1.1102230246251565e-16,2.220446049250313e-16,0.25,0.125
2020-01-31,DEVELOPMENT,2,DRREDDY__SUNPHARMA,DRREDDY,SUNPHARMA,0.9651113695657662,2,2019-02-01,2020-01-31,245,2019-02-01,91.8329321288266,52.47265831034505,DRREDDY_SEG1,SUNPHARMA_SEG1,-0.029140645891840396,0.05570203755552755,2.0,0.0822634292192147,-0.1405447210028955,-0.029140645891840396,2020-02-03,2020-07-31,,2020-07-31,WINDOW_END,2.220446049250313e-16,2.220446049250313e-16,0.25,0.125
2020-01-31,DEVELOPMENT,3,AUROPHARMA__GLENMARK,AUROPHARMA,GLENMARK,2.4171190401891587,4,2019-02-01,2020-01-31,245,2019-02-01,91.53968221652288,72.27272117736143,AUROPHARMA_SEG1,GLENMARK_SEG1,0.06980827166064082,0.0708029566649276,2.0,0.21141418499049602,-0.07179764166921437,0.06980827166064082,2020-02-03,2020-07-31,,2020-07-31,WINDOW_END,2.220446049250313e-16,1.1102230246251565e-16,0.25,0.125
2020-01-31,DEVELOPMENT,4,CIPLA__PEL,CIPLA,PEL,3.872609516087953,9,2019-02-01,2020-01-31,245,2019-02-01,80.4919598266331,222.4004703011829,CIPLA_SEG1,PEL_SEG1,0.050567502990257016,0.11534209254366766,2.0,0.2812516880775923,-0.18011668209707832,0.050567502990257016,2020-02-03,2020-07-31,,2020-07-31,WINDOW_END,2.220446049250313e-16,2.220446049250313e-16,0.25,0.125
2020-07-31,DEVELOPMENT,1,LUPIN__SUNPHARMA,LUPIN,SUNPHARMA,0.5271095907577119,1,2019-08-01,2020-07-31,245,2019-08-01,42.113925378540976,52.70201310744868,LUPIN_SEG1,SUNPHARMA_SEG1,-0.018099137552953996,0.04279443762778515,2.0,0.06748973770261629,-0.1036880128085243,-0.018099137552953996,2020-08-03,2021-01-29,,2021-01-29,WINDOW_END,2.220446049250313e-16,2.220446049250313e-16,0.25,0.125
2020-07-31,DEVELOPMENT,2,DRREDDY__ZYDUS,DRREDDY,ZYDUS,0.6439923950906837,2,2019-08-01,2020-07-31,245,2019-08-01,83.99561145712666,70.85624897356948,DRREDDY_SEG1,ZYDUS_SEG1,0.012482101468565229,0.049828422624671936,2.0,0.1121389467179091,-0.08717474378077865,0.012482101468565229,2020-08-03,2021-01-29,,2021-01-29,WINDOW_END,2.220446049250313e-16,2.220446049250313e-16,0.25,0.125
2020-07-31,DEVELOPMENT,3,DIVISLAB__TORNTPHARM,DIVISLAB,TORNTPHARM,0.7699619586263874,3,2019-08-01,2020-07-31,245,2019-08-01,143.08360127433684,119.55273534041632,DIVISLAB_SEG1,TORNTPHARM_SEG1,0.01486591609540716,0.054163462012592284,2.0,0.12319284012059173,-0.0934610079297774,0.01486591609540716,2020-08-03,2021-01-29,,2021-01-29,WINDOW_END,2.220446049250313e-16,2.220446049250313e-16,0.25,0.125
2020-07-31,DEVELOPMENT,4,AUROPHARMA__CIPLA,AUROPHARMA,CIPLA,4.3433579126184885,12,2019-08-01,2020-07-31,245,2019-08-01,63.28520583941163,79.57336206679155,AUROPHARMA_SEG1,CIPLA_SEG1,0.03810753844845635,0.12783783133524018,2.0,0.29378320111893674,-0.217568124222024,0.03810753844845635,2020-08-03,2021-01-29,,2021-01-29,WINDOW_END,2.220446049250313e-16,2.220446049250313e-16,0.25,0.125
2021-01-29,DEVELOPMENT,1,BIOCON__TORNTPHARM,BIOCON,TORNTPHARM,2.6792698798507475,2,2020-02-01,2021-01-29,248,2020-02-03,349.467748566155,136.62657763197294,BIOCON_SEG1,TORNTPHARM_SEG1,-0.03342885263579465,0.09861660126421179,2.0,0.16380434989262893,-0.23066205516421823,-0.03342885263579465,2021-02-01,2021-07-30,,2021-07-30,WINDOW_END,2.220446049250313e-16,2.220446049250313e-16,0.25,0.125
2021-01-29,DEVELOPMENT,2,LUPIN__SUNPHARMA,LUPIN,SUNPHARMA,3.10947391222964,5,2020-02-01,2021-01-29,248,2020-02-03,39.317611777225565,52.10421686034259,LUPIN_SEG1,SUNPHARMA_SEG1,0.07380789174834014,0.0843759636541674,2.0,0.24255981905667495,-0.09494403555999466,0.07380789174834014,2021-02-01,2021-07-30,,2021-07-30,WINDOW_END,2.220446049250313e-16,2.220446049250313e-16,0.25,0.125
2021-01-29,DEVELOPMENT,3,DRREDDY__ZYDUS,DRREDDY,ZYDUS,3.833639473575343,7,2020-02-01,2021-01-29,248,2020-02-03,104.23080483983212,81.53321799698395,DRREDDY_SEG1,ZYDUS_SEG1,-0.0924702306652637,0.08327932295030574,2.0,0.07408841523534777,-0.2590288765658752,-0.0924702306652637,2021-02-01,2021-07-30,,2021-07-30,WINDOW_END,2.220446049250313e-16,4.440892098500626e-16,0.25,0.125
2021-01-29,DEVELOPMENT,4,AUROPHARMA__CIPLA,AUROPHARMA,CIPLA,4.972607749135381,10,2020-02-01,2021-01-29,248,2020-02-03,54.5817561270461,69.02983336284933,AUROPHARMA_SEG1,CIPLA_SEG1,0.07027583595828932,0.12318006068379325,2.0,0.3166359573258758,-0.1760842854092972,0.07027583595828932,2021-02-01,2021-07-30,,2021-07-30,WINDOW_END,4.440892098500626e-16,4.440892098500626e-16,0.25,0.125
