METHOD,TRADE_ID,FORMATION_DATE,BLOCK_TYPE,PAIR_ID,ENTRY_DIRECTION,LONG_COMPANY,SHORT_COMPANY,ENTRY_SIGNAL_DATE,ENTRY_EXECUTION_DATE,ENTRY_SIGNAL_Z,ENTRY_EXECUTION_Z,EXIT_SIGNAL_DATE,EXIT_EXECUTION_DATE,EXIT_SIGNAL_Z,EXIT_EXECUTION_Z,HOLDING_CALENDAR_DAYS,GROSS_PNL,TRANSACTION_COST,FINANCING_COST,TOTAL_COST,NET_PNL,GROSS_RETURN_ON_PAIR_GROSS,NET_RETURN_ON_PAIR_GROSS,EXIT_REASON,ALPHA,BETA
SSD,SSD_20230731_P01_T02,2023-07-31,DEVELOPMENT,DRREDDY__TORNTPHARM,LONG_A_SHORT_B,DRREDDY,TORNTPHARM,2023-12-21,2023-12-22,-2.65558347877942,-2.659588528918546,,2024-01-31,,-4.4408029719637,40,-0.0057684160093318,0.0004494609820894,0.0002121396452896,0.0006616006273791,-0.0064300166367109,-0.0255851432532238,-0.0285195964550273,WINDOW_END_FORCE_CLOSE,,
SSD,SSD_20240731_P01_T01,2024-07-31,OOS,ABBOTINDIA__DRREDDY,LONG_A_SHORT_B,ABBOTINDIA,DRREDDY,2024-08-09,2024-08-12,-2.0887674630477853,-1.846550745013848,2024-08-27,2024-08-28,0.2363294858102762,0.2923352035885589,16,0.0105072688058988,0.0004445616400261,7.872312784230709e-05,0.0005232847678684,0.0099839840380303,0.0469384441090248,0.0446008078228084,MEAN_CROSS,,
SSD,SSD_20240731_P01_T02,2024-07-31,OOS,ABBOTINDIA__DRREDDY,SHORT_A_LONG_B,DRREDDY,ABBOTINDIA,2024-11-01,2024-11-04,2.23864803271085,2.223931806200776,2024-12-24,2024-12-26,-0.0639020560371201,-0.0684234447458667,52,0.0110668680508928,0.0004403593770705,0.0002474766608681,0.0006878360379387,0.010379032012954,0.0488931373604277,0.0458542955011287,MEAN_CROSS,,
SSD,SSD_20250131_P01_T01,2025-01-31,OOS,ABBOTINDIA__CIPLA,SHORT_A_LONG_B,CIPLA,ABBOTINDIA,2025-02-07,2025-02-10,2.117156403660754,2.2289352787758667,,2025-07-31,,4.870241071772747,171,-0.0093961397237424,0.0004554932205609,0.0009016823150467,0.0013571755356076,-0.01075331525935,-0.0410414213746342,-0.0469694316718282,WINDOW_END_FORCE_CLOSE,,
SSD,SSD_20250731_P01_T01,2025-07-31,OOS,LUPIN__SUNPHARMA,SHORT_A_LONG_B,SUNPHARMA,LUPIN,2025-09-12,2025-09-15,2.175812257176152,2.490743849026123,2025-10-06,2025-10-07,-0.2683414076710336,-0.4426702114154103,22,0.0103622593610827,0.0004348140379179,0.0001065362114346,0.0005413502493525,0.0098209091117301,0.0455675823109673,0.0431870182672723,MEAN_CROSS,,
SSD,SSD_20250731_P02_T01,2025-07-31,OOS,CIPLA__TORNTPHARM,LONG_A_SHORT_B,CIPLA,TORNTPHARM,2025-08-01,2025-08-04,-3.1537072914936286,-2.441709686036914,2025-10-21,2025-10-23,0.1566112905701335,-0.327026039274834,80,0.0096659419451333,0.0004444598342905,0.0003938216829309,0.0008382815172215,0.0088276604279117,0.0427215427948542,0.0390165050535352,MEAN_CROSS,,
SSD,SSD_20250731_P01_T02,2025-07-31,OOS,LUPIN__SUNPHARMA,SHORT_A_LONG_B,SUNPHARMA,LUPIN,2026-01-09,2026-01-12,2.328741402035421,2.316182126641212,,2026-01-30,,4.360355123932771,18,-0.0073632307376816,0.0004173643948407,8.85741029425479e-05,0.0005059384977832,-0.0078691692354649,-0.0323903971674699,-0.0346159893659663,WINDOW_END_FORCE_CLOSE,,
SSD,SSD_20250731_P02_T02,2025-07-31,OOS,CIPLA__TORNTPHARM,LONG_A_SHORT_B,CIPLA,TORNTPHARM,2025-10-31,2025-11-03,-2.255536775949131,-2.6216493201908966,,2026-01-30,,-8.284068116910742,88,-0.0249031689611925,0.0004214901944228,0.0004694991306491,0.000890989325072,-0.0257941582862645,-0.1078448356352289,-0.111703324386796,WINDOW_END_FORCE_CLOSE,,
SSD,SSD_20260130_P01_T01,2026-01-30,OOS,AUROPHARMA__LUPIN,LONG_A_SHORT_B,AUROPHARMA,LUPIN,2026-02-10,2026-02-11,-3.1486977675941032,-2.6658362097332864,2026-04-01,2026-04-02,1.225938011479461,1.0257413571333382,50,0.0148600820107817,0.0004512994327683,0.0002528383062819,0.0007041377390502,0.0141559442717314,0.0667866376542181,0.0636219853997762,MEAN_CROSS,,
SSD,SSD_20260130_P01_T02,2026-01-30,OOS,AUROPHARMA__LUPIN,SHORT_A_LONG_B,LUPIN,AUROPHARMA,2026-04-22,2026-04-23,2.7139151354249216,2.6063491650786106,,2026-07-31,,4.9092547997673375,99,-0.0069896759041299,0.0004406534079711,0.0005110388321455,0.0009516922401167,-0.0079413681442466,-0.0309223222913002,-0.0351326082293982,WINDOW_END_FORCE_CLOSE,,
ENGLE_GRANGER,EG_20200131_P01_T01,2020-01-31,DEVELOPMENT,DIVISLAB__DRREDDY,LOW_GAP_LONG_A_SHORT_B,DRREDDY,DIVISLAB,2020-02-25,2020-02-26,-2.144622229272733,-2.614390433132657,2020-04-01,2020-04-03,1.2261211665574296,1.4741105731611417,37,0.0154575780667696,0.0005123530818348,0.0001649629689534,0.0006773160507882,0.0147802620159813,0.0618303122670785,0.0591210480639253,MEAN_CROSS,0.6901473257776841,0.7612939719065503
ENGLE_GRANGER,EG_20200131_P01_T02,2020-01-31,DEVELOPMENT,DIVISLAB__DRREDDY,HIGH_GAP_SHORT_A_LONG_B,DIVISLAB,DRREDDY,2020-04-07,2020-04-08,3.8386020564670886,3.5201415501271534,,2020-07-31,,5.982853684286409,114,-0.0101460256950295,0.0004912536189661,0.0007712886319515,0.0012625422509176,-0.0114085679459471,-0.0399929958230493,-0.0449696091773904,WINDOW_END_FORCE_CLOSE,0.6901473257776841,0.7612939719065503
ENGLE_GRANGER,EG_20200731_P03_T01,2020-07-31,DEVELOPMENT,LUPIN__SUNPHARMA,HIGH_GAP_SHORT_A_LONG_B,LUPIN,SUNPHARMA,2020-08-07,2020-08-10,2.822235836268158,1.863965952345627,2020-08-14,2020-08-17,-0.322538604188944,-0.1602938555131642,7,0.0092117818343785,0.00044299943946,4.314831363625013e-05,0.0004861477530963,0.0087256340812822,0.0367233075791176,0.0347852511002694,MEAN_CROSS,1.186577246023927,0.7487028187071648
ENGLE_GRANGER,EG_20200731_P01_T01,2020-07-31,DEVELOPMENT,DIVISLAB__TORNTPHARM,LOW_GAP_LONG_A_SHORT_B,TORNTPHARM,DIVISLAB,2020-08-11,2020-08-12,-2.555715207002356,-2.9048589149120447,,2021-01-29,,-6.625133181628638,170,-0.0194480283482526,0.0004672647172347,0.0010182263815034,0.0014854910987381,-0.0209335194469908,-0.0774639249098343,-0.0833808214129815,WINDOW_END_FORCE_CLOSE,-0.189580290987843,0.9994020790583752
ENGLE_GRANGER,EG_20200731_P03_T02,2020-07-31,DEVELOPMENT,LUPIN__SUNPHARMA,HIGH_GAP_SHORT_A_LONG_B,LUPIN,SUNPHARMA,2020-08-28,2020-08-31,2.165158382013814,1.2828368623330908,2020-09-10,2020-09-11,-0.3547779857221646,-0.6317832769489296,11,0.0087071099099287,0.0004428489486579,6.836738716526926e-05,0.0005112163358232,0.0081958935741054,0.0346678084986883,0.0326323742139422,MEAN_CROSS,1.186577246023927,0.7487028187071648
ENGLE_GRANGER,EG_20200731_P02_T01,2020-07-31,DEVELOPMENT,DRREDDY__ZYDUS,HIGH_GAP_SHORT_A_LONG_B,ZYDUS,DRREDDY,2020-09-10,2020-09-11,2.0887895096017663,1.7828608745801635,2020-11-18,2020-11-19,-0.1978049196384363,-0.2834129402780597,69,0.0109534995872993,0.0005079284820426,0.0004519290045458,0.0009598574865884,0.0099936421007108,0.042970192874619,0.0392047057805511,MEAN_CROSS,0.4981995787651313,0.9292162082704069
ENGLE_GRANGER,EG_20200731_P03_T03,2020-07-31,DEVELOPMENT,LUPIN__SUNPHARMA,LOW_GAP_LONG_A_SHORT_B,SUNPHARMA,LUPIN,2020-09-18,2020-09-21,-2.272520273758301,-2.4764940322367908,2020-11-05,2020-11-06,0.5912761914159592,0.8729314463246176,46,0.0142751938197327,0.0005115813474297,0.0002069890266258,0.0007185703740555,0.0135566234456771,0.0571221567530164,0.0542467989776188,MEAN_CROSS,1.186577246023927,0.7487028187071648
ENGLE_GRANGER,EG_20200731_P03_T04,2020-07-31,DEVELOPMENT,LUPIN__SUNPHARMA,HIGH_GAP_SHORT_A_LONG_B,LUPIN,SUNPHARMA,2020-11-17,2020-11-18,2.215543779213592,1.9718155802669544,,2021-01-29,,3.103031538421544,72,-0.0056017790583108,0.0004768176491812,0.0005136617600794,0.0009904794092606,-0.0065922584675715,-0.0219000550320178,-0.0257723165662722,WINDOW_END_FORCE_CLOSE,1.186577246023927,0.7487028187071648
ENGLE_GRANGER,EG_20210129_P01_T01,2021-01-29,DEVELOPMENT,LUPIN__TORNTPHARM,LOW_GAP_LONG_A_SHORT_B,TORNTPHARM,LUPIN,2021-02-10,2021-02-11,-2.084071362497152,-1.784827856034935,2021-07-09,2021-07-12,0.2670483401940952,0.2836882003429084,151,0.0166810522786735,0.0005762497249898,0.0007158891720233,0.0012921388970131,0.0153889133816604,0.0656529041070167,0.060567333383939,MEAN_CROSS,2.527445384843092,0.6879817758259631
ENGLE_GRANGER,EG_20240131_P01_T01,2024-01-31,DEVELOPMENT,DIVISLAB__GLENMARK,HIGH_GAP_SHORT_A_LONG_B,DIVISLAB,GLENMARK,2024-02-21,2024-02-22,2.041335121056973,2.220099147303056,2024-06-05,2024-06-06,-0.163899375531806,0.4014995463250247,105,0.012783829069474,0.000665459316513,0.0004108603813854,0.0010763196978985,0.0117075093715755,0.0495638150912954,0.0453908470239153,MEAN_CROSS,-8.344116272159795,2.1978190554568044
