SYMBOL,COMPANY,NSE_COMPANY_NAME,SERIES,PURPOSE,FACE_VALUE,EX_DATE,RECORD_DATE,BOOK_CLOSURE_START,BOOK_CLOSURE_END,PAYMENT_DATE,REMARKS
SANOFI,Sanofi India,Sanofi India Limited,EQ,Demerger,10,2024-06-13,2024-06-13,,,,
TORNTPHARM,Torrent Pharmaceuticals,Torrent Pharmaceuticals Limited,EQ,Dividend - Rs 6 Per Share,5,2024-06-21,2024-06-21,,,,
WOCKPHARMA,Wockhardt,Wockhardt Limited,EQ,Annual General Meeting,5,2024-06-21,2024-06-21,,,,
LAURUSLABS,Laurus Labs,Laurus Labs Limited,EQ,Annual General Meeting,2,2024-07-04,,2024-07-05,2024-07-11,,
BIOCON,Biocon,Biocon Limited,EQ,Dividend - Re 0.50 Per Share,5,2024-07-05,2024-07-05,,,,
PEL,Piramal Enterprises,Piramal Enterprises Limited,EQ,Dividend - Rs 10 Per Share,2,2024-07-05,2024-07-05,,,,
PPLPHARMA,Piramal Pharma,Piramal Pharma Limited,EQ,Dividend - Rs 0.11 Per Share,10,2024-07-12,2024-07-12,,,,
SUNPHARMA,Sun Pharmaceutical Industries,Sun Pharmaceutical Industries Limited,EQ,Dividend - Rs 5 Per Share,1,2024-07-12,2024-07-12,,,,
APLLTD,Alembic Pharmaceuticals,Alembic Pharmaceuticals Limited,EQ,Dividend - Rs 11 Per Share,2,2024-07-15,2024-07-15,,,,
DRREDDY,Dr. Reddy's Laboratories,Dr. Reddy's Laboratories Limited,EQ,Annual General Meeting/Dividend - Rs 40 Per Share,1,2024-07-16,,2024-07-17,2024-07-19,,
LUPIN,Lupin,Lupin Limited,EQ,Dividend - Rs 8 Per Share,2,2024-07-16,2024-07-16,,,,
ABBOTINDIA,Abbott India,Abbott India Limited,EQ,Dividend - Rs 410 Per Share,10,2024-07-19,2024-07-19,,,,
ZYDUSLIFE,Zydus Lifesciences,Zydus Lifesciences Limited,EQ,Dividend - Rs 3 Per Share,1,2024-07-26,2024-07-26,,,,
AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Limited,EQ,Buy Back,1,2024-07-30,2024-07-30,,,,
GRANULES,Granules India,Granules India Limited,EQ,Annual General Meeting/Dividend - Rs 1.50 Per Share,1,2024-07-30,,2024-07-31,2024-08-06,,
CIPLA,Cipla,Cipla Limited,EQ,Dividend - Rs 13 Per Share,2,2024-08-02,2024-08-02,,,,
DIVISLAB,Divi's Laboratories,Divi's Laboratories Limited,EQ,Dividend - Rs 30 Per Share,2,2024-08-02,2024-08-02,,,,
IPCALAB,IPCA Laboratories,IPCA Laboratories Limited,EQ,Annual General Meeting/Dividend - Rs 2 Per Share,1,2024-08-06,,2024-08-07,2024-08-13,,
ALKEM,Alkem Laboratories,Alkem Laboratories Limited,EQ,Dividend - Rs 5 Per Share,2,2024-08-09,2024-08-10,,,,
JBCHEPHARM,JB Chemicals & Pharmaceuticals,JB Chemicals & Pharmaceuticals Limited,EQ,Dividend - Rs 6.75 Per Share,1,2024-08-14,2024-08-14,,,,
GLAND,Gland Pharma,Gland Pharma Limited,EQ,Annual General Meeting/Dividend - Rs 20 Per Share,1,2024-08-16,2024-08-16,,,,
PFIZER,Pfizer,Pfizer Limited,EQ,Dividend - Rs 35 Per Share,10,2024-08-21,2024-08-21,,,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Interim Dividend - Rs 3 Per Share,2,2024-08-23,2024-08-23,,,,
AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Limited,EQ,Annual General Meeting,1,2024-08-26,,2024-08-27,2024-08-29,,
STAR,Strides Pharma Science,Strides Pharma Science Limited,EQ,Dividend - Rs 2.50 Per Share,10,2024-09-09,2024-09-09,,,,
GLENMARK,Glenmark Pharmaceuticals,Glenmark Pharmaceuticals Limited,EQ,Dividend - Rs 2.50 Per Share,1,2024-09-13,,2024-09-17,2024-09-27,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Annual General Meeting,2,2024-09-25,,2024-09-26,2024-09-30,,
DRREDDY,Dr. Reddy's Laboratories,Dr. Reddy's Laboratories Limited,EQ,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,1,2024-10-28,2024-10-28,,,,
AJANTPHARM,Ajanta Pharma,Ajanta Pharma Limited,EQ,Interim Dividend - Rs 28 Per Share,2,2024-11-06,2024-11-06,,,,
LAURUSLABS,Laurus Labs,Laurus Labs Limited,EQ,Interim Dividend - Rs 0.40 Per Share,2,2024-11-06,2024-11-06,,,,
GLAXO,GlaxoSmithKline Pharmaceuticals,GlaxoSmithKline Pharmaceuticals Limited,EQ,Interim Dividend - Rs 12 Per Share,10,2024-11-07,2024-11-07,,,,
IPCALAB,IPCA Laboratories,IPCA Laboratories Limited,EQ,Interim Dividend - Rs 2 Per Share,1,2024-11-27,2024-11-27,,,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Interim Dividend - Rs 1.50 Per Share,2,2024-11-27,2024-11-27,,,,
STAR,Strides Pharma Science,Strides Pharma Science Limited,EQ,Demerger,10,2024-12-06,2024-12-06,,,,
TORNTPHARM,Torrent Pharmaceuticals,Torrent Pharmaceuticals Limited,EQ,Interim Dividend - Rs 26 Per Sh,5,2025-01-31,2025-02-01,,,,
SUNPHARMA,Sun Pharmaceutical Industries,Sun Pharmaceutical Industries Limited,EQ,Interim Dividend - Rs 10.50 Per Share,1,2025-02-06,2025-02-06,,,,
JBCHEPHARM,JB Chemicals & Pharmaceuticals,JB Chemicals & Pharmaceuticals Limited,EQ,Interim Dividend - Rs 8.50 Per Share,1,2025-02-07,2025-02-08,,,,
ALKEM,Alkem Laboratories,Alkem Laboratories Limited,EQ,Interim Dividend - Rs 37 Per Share,2,2025-02-14,2025-02-14,,,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Interim Dividend - Rs 1.50 Per Share,2,2025-02-18,2025-02-18,,,,
SANOFI,Sanofi India,Sanofi India Limited,EQ,Dividend - Rs 117 Per Share,10,2025-04-25,2025-04-25,,,,
LAURUSLABS,Laurus Labs,Laurus Labs Limited,EQ,Interim Dividend - Rs  0.80 Per Share,2,2025-05-09,2025-05-09,,,,
GLAXO,GlaxoSmithKline Pharmaceuticals,GlaxoSmithKline Pharmaceuticals Limited,EQ,Dividend - Rs 42 Per Share,10,2025-05-30,2025-05-30,,,,
PEL,Piramal Enterprises,Piramal Enterprises Limited,EQ,Dividend - Rs 11 Per Share,2,2025-06-13,2025-06-13,,,,
TORNTPHARM,Torrent Pharmaceuticals,Torrent Pharmaceuticals Limited,EQ,Dividend - Rs 6 Per Share,5,2025-06-20,2025-06-20,,,,
CIPLA,Cipla,Cipla Limited,EQ,Dividend - Rs 13 Per Share/Special Dividend - Rs 3 Per Share,2,2025-06-27,2025-06-27,,,,
BIOCON,Biocon,Biocon Limited,EQ,Dividend - Rs 0.50 Per Share,5,2025-07-04,2025-07-04,,,,
SUNPHARMA,Sun Pharmaceutical Industries,Sun Pharmaceutical Industries Limited,EQ,Dividend - Rs 5.50 Per Share,1,2025-07-07,2025-07-07,,,,
PFIZER,Pfizer,Pfizer Limited,EQ,Dividend - Rs 35 Per Share & Special Dividend Of Rs 100 Per Share/ Special Dividend Of Rs 30,10,2025-07-09,2025-07-09,,,,
DRREDDY,Dr. Reddy's Laboratories,Dr. Reddy's Laboratories Limited,EQ,Dividend - Rs 8 Per Share,1,2025-07-10,2025-07-10,,,,
PPLPHARMA,Piramal Pharma,Piramal Pharma Limited,EQ,Dividend - Re 0.14 Per Share,10,2025-07-16,2025-07-16,,,,
STAR,Strides Pharma Science,Strides Pharma Science Limited,EQ,Dividend - Rs 4 Per Share,10,2025-07-22,2025-07-22,,,,
ABBOTINDIA,Abbott India,Abbott India Limited,EQ,Dividend - Rs 475 Per Share,10,2025-07-25,2025-07-25,,,,
DIVISLAB,Divi's Laboratories,Divi's Laboratories Limited,EQ,Dividend - Rs 30 Per Share,2,2025-07-25,2025-07-25,,,,
LUPIN,Lupin,Lupin Limited,EQ,Dividend - Rs 12 Per Share,2,2025-07-25,2025-07-25,,,,
ZYDUSLIFE,Zydus Lifesciences,Zydus Lifesciences Limited,EQ,Dividend - Rs 11 Per Share,1,2025-07-25,2025-07-25,,,,
APLLTD,Alembic Pharmaceuticals,Alembic Pharmaceuticals Limited,EQ,Dividend - Rs 11 Per Share,2,2025-07-29,2025-07-29,,,,
JBCHEPHARM,JB Chemicals & Pharmaceuticals,JB Chemicals & Pharmaceuticals Limited,EQ,Dividend - Rs 7 Per Share,1,2025-07-30,2025-07-30,,,,
GRANULES,Granules India,Granules India Limited,EQ,Dividend - Rs 1.50 Per Share,1,2025-07-31,2025-07-31,,,,
IPCALAB,IPCA Laboratories,IPCA Laboratories Limited,EQ,Dividend - Rs 2 Per Share,1,2025-08-05,2025-08-05,,,,
ALKEM,Alkem Laboratories,Alkem Laboratories Limited,EQ,Dividend - Rs 8 Per Share,2,2025-08-08,2025-08-08,,,,
AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Limited,EQ,Interim Dividend - Rs 4 Per Share,1,2025-08-08,2025-08-08,,,,
MANKIND,Mankind Pharma,Mankind Pharma Limited,EQ,Interim Dividend - Re 1  Per Share,1,2025-08-08,2025-08-08,,,,
GLAND,Gland Pharma,Gland Pharma Limited,EQ,Dividend - Rs 18 Per Share,1,2025-08-14,2025-08-14,,,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Interim Dividend - Rs 2 Per Share,2,2025-08-19,2025-08-19,,,,
GLENMARK,Glenmark Pharmaceuticals,Glenmark Pharmaceuticals Limited,EQ,Dividend - Rs 2.50 Per Share,1,2025-09-15,2025-09-15,,,,
GLENMARK,Glenmark Pharmaceuticals,Glenmark Pharmaceuticals Limited,EQ,Interim Dividend - Rs 2.50 Per Share,1,2025-10-03,2025-10-03,,,,
LAURUSLABS,Laurus Labs,Laurus Labs Limited,EQ,Interim Dividend - Re 0.80 Per Sh,2,2025-10-31,2025-10-31,,,,
SANOFI,Sanofi India,Sanofi India Limited,EQ,Interim Dividend - Rs 75 Per Share,10,2025-11-07,2025-11-07,,,,
AJANTPHARM,Ajanta Pharma,Ajanta Pharma Limited,EQ,Interim Dividend - Rs 28 Per Share,2,2025-11-10,2025-11-10,,,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Interim Dividend - Rs 1.50 Per Share,2,2025-11-20,2025-11-20,,,,
SUNPHARMA,Sun Pharmaceutical Industries,Sun Pharmaceutical Industries Limited,EQ,Interim Dividend - Rs 11 Per Share,1,2026-02-05,2026-02-05,,,,
JBCHEPHARM,JB Chemicals & Pharmaceuticals,JB Chemicals & Pharmaceuticals Limited,EQ,Interim Dividend - Rs 12.70 Per Share,1,2026-02-11,2026-02-11,,,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Interim Dividend - Rs 1.50 Per Share,2,2026-02-18,2026-02-18,,,,
TORNTPHARM,Torrent Pharmaceuticals,Torrent Pharmaceuticals Limited,EQ,Interim Dividend - Rs 29 Per Share,5,2026-02-18,2026-02-19,,,,
ALKEM,Alkem Laboratories,Alkem Laboratories Limited,EQ,Interim Dividend - Rs 43 Per Share,2,2026-02-20,2026-02-20,,,,
AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Limited,EQ,Buy Back,1,2026-04-17,2026-04-17,,,,
SANOFI,Sanofi India,Sanofi India Limited,EQ,Dividend - Rs 48 Per Share,10,2026-04-22,2026-04-22,,,,
LAURUSLABS,Laurus Labs,Laurus Labs Limited,EQ,Interim Dividend - Rs 1.20 Per Share,2,2026-05-08,2026-05-08,,,,
GLAXO,GlaxoSmithKline Pharmaceuticals,GlaxoSmithKline Pharmaceuticals Limited,EQ,Dividend - Rs 57 Per Share,10,2026-05-29,2026-05-29,,,,
JBCHEPHARM,JB Chemicals & Pharmaceuticals,JB Chemicals & Pharmaceuticals Limited,EQ,Dividend - Rs 9.30  Per Share,1,2026-05-29,2026-05-29,,,,
TORNTPHARM,Torrent Pharmaceuticals,Torrent Pharmaceuticals Limited,EQ,Dividend - Rs 9 Per Share,5,2026-05-29,2026-05-29,,,,
ZYDUSLIFE,Zydus Lifesciences,Zydus Lifesciences Limited,EQ,Buy Back,1,2026-05-29,2026-05-29,,,,
CIPLA,Cipla,Cipla Limited,EQ,Dividend - Rs 13 Per Share,2,2026-06-05,2026-06-05,,,,
BIOCON,Biocon,Biocon Limited,EQ,Dividend - Re 0.50 Per Share,5,2026-07-03,2026-07-03,,,,
SUNPHARMA,Sun Pharmaceutical Industries,Sun Pharmaceutical Industries Limited,EQ,Dividend - Rs 5 Per Share,1,2026-07-07,2026-07-07,,,,
DRREDDY,Dr. Reddy's Laboratories,Dr. Reddy's Laboratories Limited,EQ,Dividend - Rs 8 Per Share,1,2026-07-10,2026-07-10,,,,
LUPIN,Lupin,Lupin Limited,EQ,Dividend - Rs 18 Per Share,2,2026-07-17,2026-07-17,,,,
PFIZER,Pfizer,Pfizer Limited,EQ,Dividend - Rs 75 Per Share,10,2026-07-17,2026-07-17,,,,
ABBOTINDIA,Abbott India,Abbott India Limited,EQ,Dividend - Rs 525 Per Share & Special Dividend Rs 131 Per Share,10,2026-07-24,2026-07-24,,,,
DIVISLAB,Divi's Laboratories,Divi's Laboratories Limited,EQ,Dividend - Rs 30 Per Share,2,2026-07-24,2026-07-24,,,,
ZYDUSLIFE,Zydus Lifesciences,Zydus Lifesciences Limited,EQ,Dividend - Re 1 Per Share,1,2026-07-24,2026-07-24,,,,
APLLTD,Alembic Pharmaceuticals,Alembic Pharmaceuticals Limited,EQ,Dividend - Rs 12 Per Share,2,2026-07-29,2026-07-29,,,,
GRANULES,Granules India,Granules India Limited,EQ,Dividend - Rs 1.75 Per Share,1,2026-07-30,2026-07-30,,,,
STAR,Strides Pharma Science,Strides Pharma Science Limited,EQ,Dividend - Rs 5 Per Share,10,2026-07-31,2026-07-31,,,,
