SYMBOL,COMPANY,NSE_COMPANY_NAME,SERIES,PURPOSE,FACE_VALUE,EX_DATE,RECORD_DATE,BOOK_CLOSURE_START,BOOK_CLOSURE_END,PAYMENT_DATE,REMARKS
ABBOTINDIA,Abbott India,Abbott India Limited,EQ,Annual General Meeting/Dividend Rs 40/- Per Share,10,2017-07-10,,2017-07-12,2017-07-18,,
APLLTD,Alembic Pharmaceuticals,Alembic Pharmaceuticals Limited,EQ,Annual General Meeting/Dividend -Rs 4/- Per Share,2,2017-07-11,,2017-07-13,2017-07-20,,
GLAXO,GlaxoSmithKline Pharmaceuticals,GlaxoSmithKline Pharmaceuticals Limited,EQ,Dividend - Rs 30/- Per Share,10,2017-07-14,,2017-07-18,2017-07-25,,
DRREDDY,Dr. Reddy's Laboratories,Dr. Reddy's Laboratories Limited,EQ,Annual General Meeting/Dividend - Rs 20/- Per Share,1,2017-07-17,,2017-07-19,2017-07-21,,
BIOCON,Biocon,Biocon Limited,EQ,Annual General Meeting/Dividend - Re 1/- Per Share,5,2017-07-20,,2017-07-22,2017-07-28,,
PEL,Piramal Enterprises,Piramal Enterprises Limited,EQ,Dividend - Rs 21/- Per Share,2,2017-07-21,,2017-07-25,2017-08-01,,
LUPIN,Lupin,Lupin Limited,EQ,Annual General Meeting/Dividend - Rs 7.50 Per Share,2,2017-07-24,,2017-07-26,2017-08-02,,
WOCKPHARMA,Wockhardt,Wockhardt Limited,EQ,Annual General Meeting,5,2017-07-24,,2017-07-26,2017-08-02,,
CIPLA,Cipla,Cipla Limited,EQ,Annual General Meeting/Dividend - Rs 2/- Per Share,2,2017-07-26,,2017-07-28,2017-08-11,,
IPCALAB,IPCA Laboratories,IPCA Laboratories Limited,EQ,Annual General Meeting/Dividend - Re 1/- Per Share,1,2017-07-27,,2017-07-29,2017-08-04,,
ZYDUSLIFE,Zydus Lifesciences,Zydus Lifesciences Limited,EQ,Annual General Meeting,1,2017-07-27,,2017-07-31,2017-08-11,,
SANOFI,Sanofi India,Sanofi India Limited,EQ,Interim Dividend-Rs 18/- Per Share,10,2017-07-31,2017-08-01,,,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Interim Dividend - Rs 1.25 Per Share,2,2017-08-16,2017-08-18,,,,
PFIZER,Pfizer,Pfizer Limited,EQ,Dividend Rs 15/- Per Share + Special Dividend Rs 5/- Per Share,10,2017-08-22,,2017-08-24,2017-08-30,,
AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Limited,EQ,Annual General Meeting,1,2017-08-23,,2017-08-25,2017-08-31,,
GRANULES,Granules India,Granules India Limited,EQ,Interim Dividend - Re 0.25 Per Share,1,2017-08-23,2017-08-25,,,,
ALKEM,Alkem Laboratories,Alkem Laboratories Limited,EQ,Annual General Meeting/ Dividend -Rs 9/- Per Share,2,2017-08-31,2017-09-01,,,,
STAR,Strides Pharma Science,Strides Pharma Science Limited,EQ,Annual General Meeting/Dividend - Rs 4.50 Per Share,10,2017-09-07,,2017-09-09,2017-09-15,,
JBCHEPHARM,JB Chemicals & Pharmaceuticals,JB Chemicals & Pharmaceuticals Limited,EQ,Annual General Meeting/Dividend - Re 1/- Per Share,1,2017-09-11,,2017-09-13,2017-09-19,,
DIVISLAB,Divi's Laboratories,Divi's Laboratories Limited,EQ,Annual General Meeting/Dividend - Rs 10/- Per Share,2,2017-09-15,,2017-09-19,2017-09-25,,
SUNPHARMA,Sun Pharmaceutical Industries,Sun Pharmaceutical Industries Limited,EQ,Annual General Meeting/Dividend - Rs 3.50 Per Share,1,2017-09-18,,2017-09-20,2017-09-26,,
