LEDGER_ID,SOURCE_ROW_NUMBER,EX_DATE,RECORD_DATE,COMPANY_ID,SYMBOL,PRICE_SYMBOL,SERIES,PURPOSE,PURPOSE_NORMALIZED,ACTION_TAGS,PRIMARY_CLASS,TREATMENT_CODE,RESEARCH_RELEVANCE,STRUCTURAL_BREAK_FLAG,SPECIAL_DIVIDEND_FLAG,AUTO_TERMS_READY,MANUAL_REVIEW_REQUIRED,REVIEW_REASON,DIVIDEND_RUPEES_PER_SHARE,DIVIDEND_PARSE_STATUS,BONUS_NEW_SHARES,BONUS_EXISTING_SHARES,BONUS_SHARE_MULTIPLIER,BONUS_PARSE_STATUS,SPLIT_OLD_FACE_VALUE,SPLIT_NEW_FACE_VALUE,SPLIT_SHARE_MULTIPLIER,SPLIT_PARSE_STATUS,RIGHTS_NEW_SHARES,RIGHTS_EXISTING_SHARES,RIGHTS_RATIO_PARSE_STATUS,EQ_PRICE_ON_EX_DATE,EQ_CLOSE_ON_EX_DATE,COMPANY,NSE_COMPANY_NAME,FACE_VALUE,BOOK_CLOSURE_START,BOOK_CLOSURE_END,PAYMENT_DATE,REMARKS
CA0083,83,2018-02-15,2018-02-19,TORNTPHARM,TORNTPHARM,TORNTPHARM,EQ,Interim Dividend Rs 9/- Per Share (Purpose Revised),INTERIM DIVIDEND RS 9/- PER SHARE (PURPOSE REVISED),DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,9.0,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,1420.95,Torrent Pharmaceuticals,Torrent Pharmaceuticals Limited,5,,,,
CA0084,84,2018-02-16,2018-02-20,ALKEM,ALKEM,ALKEM,EQ,Interim Dividend - Rs 6 Per Share (Purpose Revised),INTERIM DIVIDEND - RS 6 PER SHARE (PURPOSE REVISED),DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,6.0,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,2164.4,Alkem Laboratories,Alkem Laboratories Limited,2,,,,
CA0085,85,2018-02-20,2018-02-21,AUROPHARMA,AUROPHARMA,AUROPHARMA,EQ,Interim Dividend Re 1/- Per Share,INTERIM DIVIDEND RE 1/- PER SHARE,DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,1.0,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,574.8,Aurobindo Pharma,Aurobindo Pharma Limited,1,,,,
CA0086,86,2018-02-20,2018-02-21,GRANULES,GRANULES,GRANULES,EQ,Interim Dividend Re 0.25 Per Share,INTERIM DIVIDEND RE 0.25 PER SHARE,DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,0.25,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,116.05,Granules India,Granules India Limited,1,,,,
CA0087,87,2018-04-06,2018-04-09,STAR,STAR,STAR,EQ,Scheme Of Arrangement,SCHEME OF ARRANGEMENT,SCHEME_OF_ARRANGEMENT,SCHEME_OF_ARRANGEMENT,STRUCTURAL_BREAK_MANUAL_REVIEW,EQ_SERIES,True,False,False,True,SCHEME_TYPE_NOT_SAFE_TO_INFER_FROM_PURPOSE_TEXT,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,663.8,Strides Pharma Science,Strides Pharma Science Limited,10,,,,
CA0088,88,2018-04-26,,SANOFI,SANOFI,SANOFI,EQ,Annual General Meeting/ Dividend - Rs 53 Per Share,ANNUAL GENERAL MEETING/ DIVIDEND - RS 53 PER SHARE,AGM;DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,53.0,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,4839.65,Sanofi India,Sanofi India Limited,10,2018-05-01,2018-05-08,,
CA0089,89,2018-06-18,,TORNTPHARM,TORNTPHARM,TORNTPHARM,EQ,Dividend- Rs 5 Per Share,DIVIDEND- RS 5 PER SHARE,DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,5.0,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,1483.95,Torrent Pharmaceuticals,Torrent Pharmaceuticals Limited,5,2018-06-20,2018-06-22,,
CA0090,90,2018-06-26,,AJANTPHARM,AJANTPHARM,AJANTPHARM,EQ,Annual General Meeting,ANNUAL GENERAL MEETING,AGM,ADMIN_ONLY,NO_PRICE_OR_TOTAL_RETURN_ADJUSTMENT,EQ_SERIES,False,False,False,False,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,1011.5,Ajanta Pharma,Ajanta Pharma Limited,2,2018-06-28,2018-07-05,,
CA0091,91,2018-06-28,,LAURUSLABS,LAURUSLABS,LAURUSLABS,EQ,Annual General Meeting / Dividend- Rs 1.50 Per Share,ANNUAL GENERAL MEETING / DIVIDEND- RS 1.50 PER SHARE,AGM;DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,1.5,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,452.0,Laurus Labs,Laurus Labs Limited,2,2018-07-02,2018-07-05,,
CA0092,92,2018-07-10,,ABBOTINDIA,ABBOTINDIA,ABBOTINDIA,EQ,Annual General Meeting / Final Dividend- Rs 50 Per Share / Special Dividend- Rs 5 Per Share,ANNUAL GENERAL MEETING / FINAL DIVIDEND- RS 50 PER SHARE / SPECIAL DIVIDEND- RS 5 PER SHARE,AGM;DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,True,False,True,SPECIAL_DIVIDEND_VERIFY_AND_AVOID_DOUBLE_COUNT,,AMBIGUOUS_MULTIPLE_AMOUNTS,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,7090.9,Abbott India,Abbott India Limited,10,2018-07-12,2018-07-18,,
