COST_MULTIPLIER,DATE,NAV_START,GROSS_PNL,TRANSACTION_COST,FINANCING_COST,TOTAL_COST,NAV_END,DAILY_RETURN,OPEN_PAIRS_EOD,LONG_EXPOSURE,SHORT_EXPOSURE,GROSS_EXPOSURE,NET_EXPOSURE,GROSS_EXPOSURE_TO_NAV,NET_EXPOSURE_TO_NAV,TURNOVER_VALUE,TURNOVER_TO_NAV
0.5,2023-12-06,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-12-07,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-12-08,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-12-11,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-12-12,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-12-13,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-12-14,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-12-15,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-12-18,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-12-19,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-12-20,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-12-21,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-12-22,0.9071962467239214,0.0,0.00010772955429846567,0.0,0.00010772955429846567,0.9070885171696229,-0.00011875000000005631,1,0.11339953084049018,0.11339953084049018,0.22679906168098035,0.0,0.2500296910258093,0.0,0.22679906168098035,0.25
0.5,2023-12-26,0.9070885171696229,-0.0029615313870002304,0.0,9.941876676426537e-06,9.941876676426537e-06,0.9041170439059462,-0.003275836048447167,1,0.11348919942841068,0.11645073081541091,0.2299399302438216,-0.002961531387000227,0.2543254015546928,-0.0032756061916562104,0.0,0.0
0.5,2023-12-27,0.9041170439059462,0.0026058569057979732,0.0,2.552344784995308e-06,2.552344784995308e-06,0.9067203484669591,0.002879388878420208,1,0.11514857206105182,0.11550424654225408,0.2306528186033059,-0.00035567448120225886,0.2543814297244823,-0.00039226480557496787,0.0,0.0
0.5,2023-12-28,0.9067203484669591,0.003318483516099695,0.0,2.5315999242137883e-06,2.5315999242137883e-06,0.9100363003831345,0.0036570833794364876,1,0.11805121477789395,0.1150884057429965,0.23313962052089043,0.002962809034897443,0.25618716574573597,0.0032557042325125603,0.0,0.0
0.5,2023-12-29,0.9100363003831345,-0.0037707317045457232,0.0,2.522485605325951e-06,2.522485605325951e-06,0.9062630461929836,-0.0041462677791670455,1,0.11682910245039321,0.1176370251200415,0.23446612757043472,-0.0008079226696482839,0.2587175197701998,-0.0008914880431704608,0.0,0.0
0.5,2024-01-01,0.9062630461929836,0.0009505348576218709,0.0,7.735037268167113e-06,7.735037268167113e-06,0.9072058460133373,0.001040315860074248,1,0.11730767075671047,0.11716505856873688,0.23447272932544735,0.00014261218797359532,0.2584559285589086,0.00015719937057316835,0.0,0.0
0.5,2024-01-02,0.9072058460133373,0.000797291863052765,0.0,2.568001283698343e-06,2.568001283698343e-06,0.9080005698751064,0.0008760127211056012,1,0.11942646896341616,0.1184865649123898,0.23791303387580598,0.0009399040510263551,0.26201859532811794,0.0010351359704054337,0.0,0.0
