COST_MULTIPLIER,DATE,NAV_START,GROSS_PNL,TRANSACTION_COST,FINANCING_COST,TOTAL_COST,NAV_END,DAILY_RETURN,OPEN_PAIRS_EOD,LONG_EXPOSURE,SHORT_EXPOSURE,GROSS_EXPOSURE,NET_EXPOSURE,GROSS_EXPOSURE_TO_NAV,NET_EXPOSURE_TO_NAV,TURNOVER_VALUE,TURNOVER_TO_NAV
0.0,2021-05-05,1.018837878670744,-0.00710752755355926,0.0,0.0,0.0,1.0117303511171847,-0.006976112394674883,1,0.1536544709452829,0.11809079179270102,0.27174526273798394,0.03556367915258188,0.26859455430778983,0.03515134157368249,0.0,0.0
0.0,2021-05-06,1.0117303511171847,-0.0007935890992072066,0.0,0.0,0.0,1.0109367620179774,-0.0007843879531052034,1,0.15264447223179503,0.11787438217842036,0.2705188544102154,0.03477009005337467,0.26759226152803095,0.03439393180634612,0.0,0.0
0.0,2021-05-07,1.0109367620179774,0.0006990998618750152,0.0,0.0,0.0,1.0116358618798524,0.0006915366896733666,1,0.15317142808231043,0.11770223816706074,0.27087366624937115,0.035469189915249694,0.2677580703258438,0.035061222374362815,0.0,0.0
0.0,2021-05-10,1.0116358618798524,0.006268942327361312,0.0,0.0,0.0,1.0179048042072139,0.006196836790376636,1,0.16199793857844327,0.12025980633583229,0.2822577449142756,0.041738132242610984,0.2772928703623808,0.04100396429027404,0.0,0.0
0.0,2021-05-11,1.0179048042072139,-0.000586252766919326,0.0,0.0,0.0,1.0173185514402945,-0.0005759406621289598,1,0.15893281204794538,0.11778093257225372,0.2767137446201991,0.041151879475691655,0.27200304587824004,0.040451321188854604,0.0,0.0
0.0,2021-05-12,1.0173185514402945,-0.0007982058860662443,0.0,0.0,0.0,1.0165203455542282,-0.0007846174484247292,1,0.15960028945859822,0.1192466158689728,0.278846905327571,0.040353673589625425,0.27431512467715324,0.03969785136727761,0.0,0.0
0.0,2021-05-14,1.0165203455542282,0.003116983811699743,0.0,0.0,0.0,1.019637329365928,0.0030663270295887557,1,0.15939243465089495,0.1159217772495698,0.27531421190046473,0.04347065740132515,0.2700118993011679,0.04263345029585944,0.0,0.0
0.0,2021-05-17,1.019637329365928,0.001485633010526495,0.0,0.0,0.0,1.0211229623764544,0.0014570210090780744,1,0.16193060533087744,0.11697431491902578,0.2789049202499032,0.04495629041185166,0.2731354895798339,0.04402632402587942,0.0,0.0
0.0,2021-05-18,1.0211229623764544,-0.002234871755297075,0.0,0.0,0.0,1.0188880906211573,-0.0021886411702033426,1,0.1594744055609751,0.11675298690442054,0.2762273924653956,0.04272141865655457,0.271106704463486,0.04192945137920867,0.0,0.0
0.0,2021-05-19,1.0188880906211573,-0.00016493677274159995,0.0,0.0,0.0,1.0187231538484156,-0.00016187918404375612,1,0.16127191051773324,0.11871542863392023,0.27998733915165347,0.042556481883813,0.274841440575832,0.04177433459036246,0.0,0.0
0.0,2021-05-20,1.0187231538484156,-0.0015700868002283994,0.0,0.0,0.0,1.0171530670481872,-0.0015412301117306848,1,0.15945098530095225,0.11846459021736767,0.2779155755183199,0.04098639508358458,0.27322886252001416,0.04029520866758873,0.0,0.0
0.0,2021-05-21,1.0171530670481872,-0.0013215180443413065,0.0,0.0,0.0,1.0158315490038459,-0.0012992322268431389,1,0.15913773932314584,0.11947286228390258,0.2786106016070484,0.03966487703924326,0.2742685063092027,0.039046707181067376,0.0,0.0
0.0,2021-05-24,1.0158315490038459,0.0015551511672423283,0.0,0.0,0.0,1.0173867001710881,0.0015309144205721825,1,0.15914359438815162,0.11792356618166601,0.2770671605698176,0.04122002820648561,0.272332202222837,0.04051559569193688,0.0,0.0
0.0,2021-05-25,1.0173867001710881,-0.0008741969066938329,0.0,0.0,0.0,1.0165125032643942,-0.0008592572583727698,1,0.1594744055609751,0.11912857426118334,0.2786029798221584,0.04034583129979177,0.274077277876526,0.0396904427345719,0.0,0.0
0.0,2021-05-26,1.0165125032643942,0.000694923122244179,0.0,0.0,0.0,1.0172074263866384,0.0006836346036203089,1,0.15868397178520202,0.11764321736316607,0.27632718914836807,0.04104075442203595,0.2716527445439006,0.040346495078022016,0.0,0.0
0.0,2021-05-27,1.0172074263866384,-0.00019803986501666128,0.0,0.0,0.0,1.0170093865216216,-0.00019468975538272648,1,0.15921385516822031,0.11837114061120103,0.27758499577942136,0.04084271455701928,0.27294241278226383,0.040159623990010204,0.0,0.0
0.0,2021-05-28,1.0170093865216216,-0.0008504058163240776,0.0,0.0,0.0,1.0161589807052975,-0.0008361828588747677,1,0.15890939178792252,0.11891708304722731,0.27782647483514983,0.039992308740695204,0.27340847260171386,0.039356350236591196,0.0,0.0
0.0,2021-05-31,1.0161589807052975,0.0005557318777564789,0.0,0.0,0.0,1.016714712583054,0.0005468946181734768,1,0.16050782453448584,0.11995978391603415,0.28046760845052,0.040548040618451686,0.27585674228906076,0.039881433913192606,0.0,0.0
0.0,2021-06-01,1.016714712583054,0.0036069842643963665,0.0,0.0,0.0,1.0203216968474504,0.003547685717296911,1,0.16310161833202272,0.11894659344917466,0.2820482117811974,0.04415502488284806,0.27643067147612244,0.04327559143285545,0.0,0.0
0.0,2021-06-02,1.0203216968474504,-0.0031954540689552564,0.0,0.0,0.0,1.0171262427784953,-0.0031318103680715303,1,0.16364906691005812,0.12268949609616532,0.28633856300622346,0.0409595708138928,0.2815172305691663,0.04026989875121408,0.0,0.0
0.0,2021-06-03,1.0171262427784953,0.0003014620252606466,0.0,0.0,0.0,1.0174277048037559,0.00029638604588266837,1,0.16248976403892426,0.1212287311997708,0.2837184952386951,0.04126103283915346,0.27885862936415656,0.0405542650788264,0.0,0.0
0.0,2021-06-04,1.0174277048037559,0.0022168473354237292,0.0,0.0,0.0,1.0196445521391797,0.002178874552911214,1,0.16461808016850588,0.12114019999392871,0.2857582801624346,0.04347788017457717,0.2802528386612015,0.04264023191548667,0.0,0.0
0.0,2021-06-07,1.0196445521391797,0.0005741416999517947,0.0,0.0,0.0,1.0202186938391316,0.0005630802408027602,1,0.16539387628176466,0.12134185440723569,0.2867357306890004,0.044052021874528974,0.2810532020443579,0.043178998915182704,0.0,0.0
0.0,2021-06-08,1.0202186938391316,0.00027880988954693755,0.0,0.0,0.0,1.0204975037286785,0.0002732844352202335,1,0.16595303498981157,0.12162220322573566,0.2875752382155472,0.0443308317640759,0.2817990609137299,0.043440411762008795,0.0,0.0
0.0,2021-06-09,1.0204975037286785,-0.0004622676996148122,0.0,0.0,0.0,1.0200352360290637,-0.0004529826853332253,1,0.1638627767827672,0.11999421271830608,0.2838569895010733,0.043868564064461116,0.2782815529060659,0.043006910462464826,0.0,0.0
